"facility_name","investor_name","capital_commitment","uncalled_capital","agent_lp_category","agent_advance_rate","agent_concentration_limit","parent","spv","high_quality","investor_type","institutional_or_hnw","region_location","investment_grade","ubs_lp_category","sp_rating","moodys_rating","fitch_rating","aum","nav","pension_assets","funding_ratio","pct_of_fund_commitments","called_capital","pct_of_fund_uncalled","pct_lp_called","ubs_concentration_limit","ubs_advance_rate","agent_borrowing_base","ubs_borrowing_base","notes"
"Carlyle Buyout Umbrella","California Public Employees' Retirement System","$250M","$75M","Rated Included","90%","5%","CalPERS Board","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA-","Aa2","AA-","$500B","","$500B","70%","15.53%","$175M","15.40%","70%","20%","90%","$21.915M","$67.5M",""
"Carlyle Buyout Umbrella","Ontario Teachers' Pension Plan","$200M","$60M","Rated Included","90%","5%","Ontario Teachers' Pension Plan Board","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA-","Aa3","AA-","$220B","","$220B","105%","12.42%","$140M","12.32%","70%","20%","90%","$21.915M","$54M",""
"Carlyle Buyout Umbrella","Abu Dhabi Investment Authority","$300M","$90M","Rated Included","90%","5%","Abu Dhabi Investment Council","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Middle East","TRUE","Rated Investor","AA","Aa2","AA","$800B","","","","18.63%","$210M","18.48%","70%","20%","90%","$21.915M","$81M",""
"Carlyle Buyout Umbrella","GIC Private Limited","$200M","$60M","Rated Included","90%","5%","Government of Singapore","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Asia-Pacific","TRUE","Rated Investor","AAA","Aaa","AAA","$770B","","","","12.42%","$140M","12.32%","70%","25%","90%","$21.915M","$54M",""
"Carlyle Buyout Umbrella","TIAA","$150M","$45M","Rated Included","90%","5%","TIAA Board of Overseers","FALSE","TRUE","Insurance Company","Institutional","North America","TRUE","Rated Investor","AA-","Aa3","AA-","$1200B","","","","9.32%","$105M","9.24%","70%","20%","90%","$21.915M","$40.5M",""
"Carlyle Buyout Umbrella","Yale University Endowment","$100M","$30M","Non-Rated Included","75%","5%","Yale University","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$41B","$41B","","","6.21%","$70M","6.16%","70%","15%","90%","$18.2625M","$27M",""
"Carlyle Buyout Umbrella","Harvard Management Company","$150M","$45M","Non-Rated Included","75%","5%","Harvard University","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$51B","$51B","","","9.32%","$105M","9.24%","70%","15%","90%","$18.2625M","$40.5M",""
"Carlyle Buyout Umbrella","Teacher Retirement System of Texas","$100M","$30M","Non-Rated Included","75%","5%","State of Texas","FALSE","TRUE","Public Pension","Institutional","North America","FALSE","Corp Pension > $5Bn Assets","","","","$196B","","$196B","92%","6.21%","$70M","6.16%","70%","25%","90%","$18.2625M","$27M",""
"Carlyle Buyout Umbrella","Ford Foundation","$50M","$15M","Non-Rated Included","75%","5%","Ford Family","FALSE","TRUE","Foundation","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$16B","$16B","","","3.11%","$35M","3.08%","70%","15%","90%","$11.25M","$13.5M",""
"Carlyle Buyout Umbrella","Hamilton Lane Private Markets","$75M","$22.5M","Designated Institutional","60%","5%","Hamilton Lane Inc.","FALSE","TRUE","Fund of Funds","Institutional","North America","FALSE","FoF & Other > $10Bn AUM","","","","$120B","","","","4.66%","$52.5M","4.62%","70%","10%","75%","$13.5M","$16.875M",""
"Carlyle Buyout Umbrella","Rockefeller Family Office","$25M","$7.5M","Designated PWM","50%","10%","Rockefeller Family","FALSE","FALSE","Family Office","HNW","North America","FALSE","HNW Feeder (acceptable)","","","","$10B","","","","1.55%","$17.5M","1.54%","70%","5%","65%","$3.75M","$4.875M",""
"Carlyle Buyout Umbrella","Whitfield Family Trust","$10M","$7M","Designated PWM","50%","10%","Whitfield Family","FALSE","FALSE","Family Office","HNW","North America","FALSE","HNW (acceptable)","","","","$850M","$850M","","","0.62%","$3M","1.44%","30%","1%","0%","$3.5M","",""
"TPG Growth VI","CDPQ","$300M","$90M","Rated Included","90%","5%","Government of Quebec","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA+","Aa1","AA+","$390B","","$390B","115%","22.14%","$210M","22.14%","70%","20%","90%","$18.2925M","$73.17M",""
"TPG Growth VI","APG Asset Management","$200M","$60M","Rated Included","90%","5%","ABP Pension Fund","FALSE","TRUE","Pension Fund","Institutional","Europe","TRUE","Rated Investor","AAA","Aaa","AAA","$700B","","$700B","100%","14.76%","$140M","14.76%","70%","25%","90%","$18.2925M","$54M",""
"TPG Growth VI","Future Fund","$150M","$45M","Rated Included","90%","5%","Commonwealth of Australia","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Asia-Pacific","TRUE","Rated Investor","AAA","Aaa","AAA","$175B","","","","11.07%","$105M","11.07%","70%","25%","90%","$18.2925M","$40.5M",""
"TPG Growth VI","Allianz Capital Partners","$200M","$60M","Rated Included","90%","5%","Allianz SE","FALSE","TRUE","Insurance Company","Institutional","Europe","TRUE","Rated Investor","AA","Aa3","AA","$900B","","","","14.76%","$140M","14.76%","70%","20%","90%","$18.2925M","$54M",""
"TPG Growth VI","Stanford Management Company","$100M","$30M","Non-Rated Included","75%","5%","Stanford University","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$37B","$37B","","","7.38%","$70M","7.38%","70%","15%","90%","$15.24375M","$27M",""
"TPG Growth VI","Florida State Board of Administration","$100M","$30M","Non-Rated Included","75%","5%","State of Florida","FALSE","TRUE","Public Pension","Institutional","North America","FALSE","Corp Pension > $5Bn Assets","","","","$224B","","$224B","87%","7.38%","$70M","7.38%","70%","25%","90%","$15.24375M","$27M",""
"TPG Growth VI","Duke University Management Company","$75M","$22.5M","Non-Rated Included","75%","5%","Duke University","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$13B","$13B","","","5.54%","$52.5M","5.54%","70%","15%","90%","$15.24375M","$20.25M",""
"TPG Growth VI","Bill & Melinda Gates Foundation Trust","$100M","$30M","Non-Rated Included","75%","5%","Bill & Melinda Gates Foundation","FALSE","TRUE","Foundation","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$67B","$67B","","","7.38%","$70M","7.38%","70%","15%","90%","$15.24375M","$27M",""
"TPG Growth VI","IBM Personal Pension Plan","$40M","$12M","Designated Institutional","60%","5%","International Business Machines Corp.","FALSE","TRUE","Corporate","Institutional","North America","FALSE","Corp Pension > $1Bn Assets","","","","$4.2B","","$4.2B","108%","2.95%","$28M","2.95%","70%","20%","90%","$7.2M","$10.8M",""
"TPG Growth VI","GCM Grosvenor","$60M","$18M","Designated Institutional","60%","5%","GCM Grosvenor Inc.","FALSE","TRUE","Fund of Funds","Institutional","North America","FALSE","FoF & Other > $10Bn AUM","","","","$80B","","","","4.43%","$42M","4.43%","70%","10%","75%","$10.8M","$13.5M",""
"TPG Growth VI","Goldman Sachs Private Wealth Client","$30M","$9M","Designated PWM","50%","10%","Goldman Sachs & Co.","TRUE","FALSE","HNW","HNW","North America","FALSE","HNW Feeder (acceptable)","","","","","$2B","","","2.21%","$21M","2.21%","70%","5%","65%","$4.5M","$5.85M",""
"KKR Ascendant","Norges Bank Investment Management","$500M","$150M","Rated Included","90%","3%","Norwegian Ministry of Finance","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Europe","TRUE","Rated Investor","AAA","Aaa","AAA","$1600B","","","","25.64%","$350M","25.27%","70%","25%","90%","$16.0245M","$133.5375M",""
"KKR Ascendant","PGGM Investments","$200M","$60M","Rated Included","90%","5%","PFZW Pension Fund","FALSE","TRUE","Pension Fund","Institutional","Europe","TRUE","Rated Investor","AA","Aa2","AA","$300B","","$300B","130%","10.26%","$140M","10.11%","70%","20%","90%","$26.7075M","$54M",""
"KKR Ascendant","Mubadala Investment Company","$250M","$75M","Rated Included","90%","5%","Abu Dhabi Government","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Middle East","TRUE","Rated Investor","AA","Aa2","AA","$280B","","","","12.82%","$175M","12.64%","70%","20%","90%","$26.7075M","$67.5M",""
"KKR Ascendant","Temasek Holdings","$200M","$60M","Rated Included","90%","5%","Government of Singapore","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Asia-Pacific","TRUE","Rated Investor","AAA","Aaa","AAA","$290B","","","","10.26%","$140M","10.11%","70%","25%","90%","$26.7075M","$54M",""
"KKR Ascendant","MetLife Investments","$150M","$45M","Rated Included","90%","5%","MetLife Inc.","FALSE","TRUE","Insurance Company","Institutional","North America","TRUE","Rated Investor","A+","A1","A+","$700B","","","","7.69%","$105M","7.58%","70%","15%","90%","$26.7075M","$40.5M",""
"KKR Ascendant","New York State Common Retirement Fund","$200M","$60M","Rated Included","90%","5%","New York State Comptroller","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA+","Aa1","AA+","$267B","","$267B","95%","10.26%","$140M","10.11%","70%","20%","90%","$26.7075M","$54M",""
